estrato,ano,mes,casos,total,populacao,anomalia_mm,dias_20mm,temp_media
cobertura baixa,2021,5,13,1463,254680,-107.43199999999999,0.4,18.79774193548387
cobertura baixa,2021,6,6,1469,254680,17.279666666666675,2.7,16.591
cobertura baixa,2021,7,13,1642,254680,-74.536,0.1,15.42290322580645
cobertura baixa,2021,8,10,1503,254680,-46.727,0.5,20.490322580645163
cobertura baixa,2021,9,11,1516,254680,-64.569,2.0,23.940666666666665
cobertura baixa,2021,10,13,1596,254680,153.1906666666667,6.0,21.851290322580645
cobertura baixa,2021,11,19,1569,254680,-80.04966666666667,0.7,24.750666666666667
cobertura baixa,2021,12,32,1671,254680,-160.32333333333332,0.1,27.33838709677419
cobertura baixa,2022,1,29,1788,263924,-24.080000000000005,1.9,26.741935483870968
cobertura baixa,2022,2,9,1666,263924,-43.85866666666666,2.3,26.347500000000004
cobertura baixa,2022,3,24,1753,263924,134.86633333333333,5.1,23.983870967741936
cobertura baixa,2022,4,20,1851,263924,16.81166666666667,1.9,21.749333333333333
cobertura baixa,2022,5,20,1906,263924,-0.021999999999998465,2.8,16.984193548387097
cobertura baixa,2022,6,19,1847,263924,0.2896666666666718,3.3,16.455333333333336
cobertura baixa,2022,7,15,1965,263924,-49.75600000000001,0.7,19.806451612903224
cobertura baixa,2022,8,12,1895,263924,87.65299999999999,3.6,17.893225806451614
cobertura baixa,2022,9,13,1895,263924,105.131,5.1,18.337
cobertura baixa,2022,10,15,1906,263924,166.31066666666666,6.3,20.85225806451613
cobertura baixa,2022,11,17,1784,263924,-99.34966666666666,0.4,21.92366666666667
cobertura baixa,2022,12,16,2000,263924,-53.07333333333334,1.4,24.72967741935484
cobertura baixa,2023,1,8,1836,273169,24.12,2.3,24.544838709677418
cobertura baixa,2023,2,20,1850,273169,85.39133333333334,4.7,23.185714285714287
cobertura baixa,2023,3,21,1874,273169,15.356333333333334,1.3,24.28258064516129
cobertura baixa,2023,4,16,2142,273169,2.4216666666666713,2.2,21.099333333333334
cobertura baixa,2023,5,15,2086,273169,-84.832,0.8,19.43935483870968
cobertura baixa,2023,6,14,1955,273169,-29.760333333333328,2.1,17.386
cobertura baixa,2023,7,18,2236,273169,16.954,2.3,18.583870967741937
cobertura baixa,2023,8,15,2199,273169,3.9930000000000048,1.6,20.250645161290322
cobertura baixa,2023,9,19,2150,273169,-2.568999999999998,2.6,23.374333333333333
cobertura baixa,2023,10,16,2099,273169,198.24066666666667,7.4,23.808709677419355
cobertura baixa,2023,11,23,2274,273169,149.75033333333334,5.9,24.434333333333335
cobertura baixa,2023,12,31,2226,273169,-7.343333333333339,2.3,25.662903225806453
cobertura baixa,2024,1,19,2221,282413,-6.1899999999999995,2.3,25.48677419354839
cobertura baixa,2024,2,26,2376,282413,-21.958666666666666,0.7,26.30689655172414
cobertura baixa,2024,3,18,2511,282413,-11.893666666666665,1.0,26.07193548387097
cobertura baixa,2024,4,22,2454,282413,10.931666666666676,1.8,24.174
cobertura baixa,2024,5,21,2512,282413,-33.541999999999994,1.9,20.11483870967742
cobertura baixa,2024,6,12,2353,282413,-82.52033333333333,0.9,20.894666666666666
cobertura baixa,2024,7,17,2251,282413,29.934000000000005,2.8,17.232580645161292
cobertura baixa,2024,8,20,2458,282413,-62.206999999999994,0.1,19.38967741935484
cobertura baixa,2024,9,27,2282,282413,-38.958999999999996,2.2,23.715333333333334
cobertura baixa,2024,10,33,2466,282413,-51.92933333333333,2.3,24.373548387096776
cobertura baixa,2024,11,24,2404,282413,-32.06966666666666,1.7,25.134
cobertura baixa,2024,12,23,2248,282413,133.53666666666666,5.4,23.743870967741934
cobertura baixa,2025,1,23,2402,284716,-44.89,1.1,25.539677419354838
cobertura baixa,2025,2,23,2189,284716,-50.26866666666666,0.7,26.493214285714288
cobertura baixa,2025,3,26,2319,284716,-28.003666666666664,0.8,25.38516129032258
cobertura baixa,2025,4,17,2337,284716,70.32166666666667,3.7,21.039
cobertura baixa,2025,5,31,2774,284716,-51.282,1.7,19.760322580645163
cobertura baixa,2025,6,25,2753,284716,142.03966666666668,4.8,16.436333333333334
cobertura baixa,2025,7,14,2577,284716,-51.536,1.0,16.24741935483871
cobertura baixa,2025,8,15,2528,284716,18.463000000000005,2.0,17.92225806451613
cobertura baixa,2025,9,16,2476,284716,-39.07899999999999,1.7,21.557666666666666
cobertura baixa,2025,10,23,2608,284716,38.56066666666668,3.6,21.41709677419355
cobertura baixa,2025,11,25,2758,284716,26.530333333333335,3.1,22.740333333333332
cobertura baixa,2025,12,28,2575,284716,26.056666666666665,3.0,24.39516129032258
cobertura baixa,2026,1,33,2653,284716,-52.4,1.5,24.771290322580647
cobertura baixa,2026,2,31,2476,284716,-52.18866666666666,1.1,26.128571428571426
cobertura baixa,2026,3,23,2748,284716,-28.923666666666662,0.5,26.12903225806452
cobertura baixa,2026,4,19,1736,284716,41.25166666666667,3.0,22.770333333333333
cobertura baixa,2026,5,33,3466,284716,28.127999999999997,2.4,17.641290322580645
sem rede,2008,1,42,494,77746,-22.245555555555555,1.6,23.970967741935485
sem rede,2008,2,39,573,77746,10.044,2.8,23.928045977011497
sem rede,2008,3,50,543,77746,-64.24444444444445,0.06666666666666667,23.176129032258064
sem rede,2008,4,37,561,77746,33.703555555555546,1.9333333333333333,20.827333333333335
