municipio,ponto_rio,ponto_grupo,iqa,papel,criterio,estacao_codigo,estacao_nome,estacao_rio,estacao_lat,estacao_lon,distancia_km
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290020,RES. GUARAPIRANGA (bairro baln. São José),RIO GUARAPIRANGA,-23.7541666666667,-46.7269444444444,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290030,RES. GUARAPIRANGA (praia do club de campo),RIO GUARAPIRANGA,-23.7302777777778,-46.7211111111111,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290040,RES. GUARAPIRANGA (praia Miami Paulista),RIO GUARAPIRANGA,-23.7155555555556,-46.7519444444444,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290050,RES. GUARAPIRANGA (Marina Guaraci),RIO GUARAPIRANGA,-23.7108333333333,-46.755,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290060,RES. GUARAPIRANGA (prainha Jardim da Represa),RIO GUARAPIRANGA,-23.7183333333333,-46.7191666666667,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290070,RES. GUARAPIRANGA (Club de Campo Castelo),RIO GUARAPIRANGA,-23.7147222222222,-46.7161111111111,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290080,RES. GUARAPIRANGA (Riviera Náutica),RIO GUARAPIRANGA,-23.6991666666667,-46.7452777777778,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290090,RES. GUARAPIRANGA (Restaurante Interlagos),RIO GUARAPIRANGA,-23.7022222222222,-46.7147222222222,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290100,RES. GUARAPIRANGA (Marina Guarapiranga),RIO GUARAPIRANGA,-23.6961111111111,-46.7172222222222,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290110,RES. GUARAPIRANGA (Marina Jardim 3 Marias),RIO GUARAPIRANGA,-23.6838888888889,-46.7169444444444,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290120,GUARAPIRANGA,RIO GUARAPIRANGA,-23.6714,-46.7264,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290130,RES. GUARAPIRANGA (2 km da Barragem),RIO GUARAPIRANGA,-23.6894444444444,-46.7263888888889,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290140,RES. GUARAPIRANGA (barr. capt. da SABESP),RIO GUARAPIRANGA,-23.6794444444444,-46.7183333333333,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),RIO EMBU MIRIM,-23.72,-46.7847,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62298800,PONTE NA ENTRADA DA USP,RIO PIRAJUSSARA,-23.5642,-46.7136,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62300500,RIO PINHEIROS (Elevatória de Pedreira),RIO PINHEIROS,-23.7025,-46.6739,
