cod6,ano,faixa,obitos_a00a09,obitos_mal_definidos,obitos_total
210070,2016,60mais,1,1,74
210070,2017,0a4,0,0,8
210070,2017,20a59,0,1,29
210070,2017,5a19,0,0,1
210070,2017,60mais,0,2,64
210070,2018,0a4,0,0,5
210070,2018,20a59,0,3,22
210070,2018,5a19,0,0,4
210070,2018,60mais,0,5,63
210070,2019,0a4,0,0,2
210070,2019,20a59,0,3,28
210070,2019,5a19,0,0,2
210070,2019,60mais,1,5,66
210070,2020,0a4,0,0,7
210070,2020,20a59,0,1,32
210070,2020,5a19,0,0,3
210070,2020,60mais,0,0,102
210070,2021,0a4,0,0,5
210070,2021,20a59,0,1,36
210070,2021,5a19,0,0,6
210070,2021,60mais,1,1,103
210070,2022,0a4,0,0,9
210070,2022,20a59,0,2,31
210070,2022,5a19,0,0,3
210070,2022,60mais,1,5,103
210070,2023,0a4,0,0,3
210070,2023,20a59,0,1,36
210070,2023,5a19,0,0,2
210070,2023,60mais,0,3,89
210070,2024,0a4,0,0,4
210070,2024,20a59,1,5,40
210070,2024,5a19,0,0,1
210070,2024,60mais,1,5,82
210080,2008,0a4,1,0,6
210080,2008,20a59,0,0,15
210080,2008,5a19,0,0,4
210080,2008,60mais,0,1,33
210080,2009,0a4,1,0,8
210080,2009,20a59,0,0,19
210080,2009,5a19,0,0,4
210080,2009,60mais,0,0,24
210080,2010,0a4,0,0,6
210080,2010,20a59,0,0,20
210080,2010,5a19,0,0,2
210080,2010,60mais,0,1,27
210080,2011,0a4,0,0,2
210080,2011,20a59,0,0,9
210080,2011,5a19,0,0,1
210080,2011,60mais,0,2,30
210080,2012,0a4,0,0,3
210080,2012,20a59,0,0,20
210080,2012,60mais,0,0,26
210080,2013,0a4,1,0,3
210080,2013,20a59,0,0,18
210080,2013,5a19,0,0,2
210080,2013,60mais,0,0,25
210080,2014,0a4,0,0,7
210080,2014,20a59,0,1,23
210080,2014,5a19,0,0,2
210080,2014,60mais,0,0,30
210080,2015,0a4,0,0,3
210080,2015,20a59,0,0,20
210080,2015,60mais,0,0,26
210080,2016,0a4,0,0,2
210080,2016,20a59,0,0,24
210080,2016,5a19,0,0,4
210080,2016,60mais,0,0,42
210080,2017,0a4,0,0,4
210080,2017,20a59,0,1,17
210080,2017,5a19,0,0,3
210080,2017,60mais,0,0,34
210080,2018,0a4,0,0,6
210080,2018,20a59,0,0,14
210080,2018,60mais,0,6,46
210080,2019,0a4,0,0,3
210080,2019,20a59,0,2,21
210080,2019,5a19,0,0,1
210080,2019,60mais,0,3,31
210080,2020,0a4,0,0,3
210080,2020,20a59,0,0,18
210080,2020,60mais,0,1,47
210080,2021,0a4,0,0,6
210080,2021,20a59,0,0,34
210080,2021,5a19,0,0,6
210080,2021,60mais,0,1,59
210080,2022,0a4,0,0,4
210080,2022,20a59,0,1,18
210080,2022,5a19,0,0,2
210080,2022,60mais,0,2,34
210080,2023,0a4,0,0,4
210080,2023,20a59,0,2,19
210080,2023,5a19,0,0,4
210080,2023,60mais,1,7,48
210080,2024,0a4,1,0,7
210080,2024,20a59,0,0,29
210080,2024,5a19,0,0,3
210080,2024,60mais,1,1,41
210083,2008,0a4,0,0,4
210083,2008,20a59,0,2,14
210083,2008,5a19,0,0,1
210083,2008,60mais,0,1,21
210083,2009,0a4,0,0,7
210083,2009,20a59,0,5,14
210083,2009,5a19,0,1,2
210083,2009,60mais,0,8,26
