ano,mes,chuva_mm,normal_mm,anomalia_mm,anomalia_pct,oni,fase
1956,4,113.51428571428572,123.01209523809524,-9.497809523809522,-7.721037110559006,-0.54,La Nina fraca
1956,5,81.92285714285715,149.96038095238094,-68.03752380952379,-45.37033273550346,-0.52,La Nina fraca
1956,6,89.86571428571429,131.05228571428572,-41.186571428571426,-31.427587244349578,-0.51,La Nina fraca
1956,7,145.28285714285713,105.8864761904762,39.39638095238092,37.20624424361038,-0.57,La Nina fraca
1956,8,63.24,92.07361904761905,-28.833619047619045,-31.31583112064569,-0.55,La Nina fraca
1956,9,59.30857142857143,147.04580952380954,-87.7372380952381,-59.6666021149224,-0.46,neutro
1956,10,192.65142857142857,193.30371428571428,-0.6522857142857106,-0.3374408591661068,-0.42,neutro
1956,11,104.21714285714286,153.6029523809524,-49.38580952380953,-32.151601748726314,-0.43,neutro
1956,12,121.65714285714286,185.4586666666667,-63.80152380952383,-34.402017957023936,-0.43,neutro
1957,1,292.86571428571426,165.94780952380952,126.91790476190474,76.48061467403404,-0.25,neutro
1957,2,173.33142857142857,165.61752380952382,7.713904761904757,4.657662175155145,0.06,neutro
1957,3,82.02571428571429,128.59952380952382,-46.57380952380953,-36.216160172406774,0.41,neutro
1957,4,53.245714285714286,123.01209523809524,-69.76638095238096,-56.71505783016305,0.72,El Nino fraco
1957,5,57.962857142857146,149.96038095238094,-91.9975238095238,-61.34788617183966,0.92,El Nino fraco
1957,6,82.7342857142857,131.05228571428572,-48.31800000000001,-36.86925392918422,1.11,El Nino moderado
1957,7,102.84285714285714,105.8864761904762,-3.0436190476190603,-2.8744171655537762,1.25,El Nino moderado
1957,8,145.3457142857143,92.07361904761905,53.27209523809526,57.85815284456643,1.32,El Nino moderado
1957,9,303.34285714285716,147.04580952380954,156.29704761904762,106.29139866358459,1.33,El Nino moderado
1957,10,172.27142857142857,193.30371428571428,-21.032285714285706,-10.880435377045446,1.39,El Nino moderado
1957,11,152.7342857142857,153.6029523809524,-0.8686666666666838,-0.5655273243135939,1.53,El Nino forte
1957,12,257.8228571428571,185.4586666666667,72.36419047619043,39.01903953955082,1.74,El Nino forte
1958,1,99.16285714285713,165.94780952380952,-66.78495238095239,-40.244551930268386,1.81,El Nino forte
1958,2,116.65142857142858,165.61752380952382,-48.966095238095235,-29.565769437786656,1.66,El Nino forte
1958,3,128.9542857142857,128.59952380952382,0.3547619047618866,0.27586564417403675,1.27,El Nino moderado
1958,4,109.23142857142857,123.01209523809524,-13.780666666666676,-11.202692418167171,0.93,El Nino fraco
1958,5,94.71714285714286,149.96038095238094,-55.243238095238084,-36.838555453376884,0.74,El Nino fraco
1958,6,102.07142857142857,131.05228571428572,-28.980857142857147,-22.113965418382634,0.64,El Nino fraco
1958,7,145.39428571428573,105.8864761904762,39.50780952380953,37.31147824084734,0.57,El Nino fraco
1958,8,122.28,92.07361904761905,30.206380952380954,32.80677056558262,0.43,neutro
1958,9,136.72857142857143,147.04580952380954,-10.31723809523811,-7.0163428176901235,0.39,neutro
1958,10,162.69714285714286,193.30371428571428,-30.606571428571414,-15.833410931428405,0.44,neutro
1958,11,205.1342857142857,153.6029523809524,51.53133333333332,33.548400297365305,0.5,El Nino fraco
1958,12,210.28857142857143,185.4586666666667,24.829904761904743,13.38837661684081,0.61,El Nino fraco
1959,1,162.2657142857143,165.94780952380952,-3.682095238095229,-2.2188272618126588,0.61,El Nino fraco
1959,2,202.11428571428573,165.61752380952382,36.49676190476191,22.03677549649681,0.62,El Nino fraco
1959,3,131.57428571428574,128.59952380952382,2.9747619047619196,2.3131982270540994,0.52,El Nino fraco
1959,4,143.04285714285714,123.01209523809524,20.030761904761903,16.283571030955528,0.33,neutro
1959,5,151.19142857142856,149.96038095238094,1.2310476190476152,0.8209152385645961,0.2,neutro
1959,6,109.77428571428571,131.05228571428572,-21.278000000000006,-16.23626774918626,-0.07,neutro
1959,7,82.61714285714285,105.8864761904762,-23.26933333333335,-21.975736817867848,-0.18,neutro
1959,8,136.54285714285714,92.07361904761905,44.4692380952381,48.29748038060641,-0.28,neutro
