ano,mes,casos,total,anomalia_mm,oni,fase,dias_20mm,dias_50mm,max_diario_mm,temp_media,t,anomalia_mm_lag0,anomalia_mm_lag1,anomalia_mm_lag2,dias_20mm_lag0,dias_20mm_lag1,dias_20mm_lag2,dias_50mm_lag0,dias_50mm_lag1,dias_50mm_lag2,max_diario_mm_lag0,max_diario_mm_lag1,max_diario_mm_lag2
2012,8,149.0,7256.0,-84.68504761904762,0.41,neutro,0.0,0.0,4.437,20.745,55,-84.68504761904762,-18.40076190476192,69.46485714285714,0.0,0.743,3.257,0.0,0.0,1.286,4.437,18.574,61.923
2012,9,153.0,7004.0,-100.25438095238096,0.41,neutro,0.514,0.0,22.531,21.98,56,-100.25438095238096,-84.68504761904762,-18.40076190476192,0.514,0.0,0.743,0.0,0.0,0.0,22.531,4.437,18.574
2012,10,193.0,7101.0,-56.67228571428569,0.31,neutro,2.171,0.371,47.031,23.868,57,-56.67228571428569,-100.25438095238096,-84.68504761904762,2.171,0.514,0.0,0.371,0.0,0.0,47.031,22.531,4.437
2012,11,150.0,6616.0,-71.26295238095238,0.13,neutro,0.143,0.0,15.409,24.377,58,-71.26295238095238,-56.67228571428569,-100.25438095238096,0.143,2.171,0.514,0.0,0.371,0.0,15.409,47.031,22.531
2012,12,180.0,6489.0,-7.975809523809545,-0.1,neutro,2.086,0.0,25.886,26.274,59,-7.975809523809545,-71.26295238095238,-56.67228571428569,2.086,0.143,2.171,0.0,0.0,0.371,25.886,15.409,47.031
2013,1,135.0,6208.0,-54.06495238095238,-0.29,neutro,2.029,0.143,45.034,24.699,60,-54.06495238095238,-7.975809523809545,-71.26295238095238,2.029,2.086,0.143,0.143,0.0,0.0,45.034,25.886,15.409
2013,2,173.0,6127.0,85.61104761904761,-0.29,neutro,3.829,0.057,38.209,24.113,61,85.61104761904761,-54.06495238095238,-7.975809523809545,3.829,2.029,2.086,0.057,0.143,0.0,38.209,45.034,25.886
2013,3,136.0,6447.0,103.19190476190474,-0.21,neutro,3.743,0.257,47.28,22.683,62,103.19190476190474,85.61104761904761,-54.06495238095238,3.743,3.829,2.029,0.257,0.057,0.143,47.28,38.209,45.034
2013,4,140.0,6635.0,27.030761904761903,-0.19,neutro,3.171,0.171,44.311,20.592,63,27.030761904761903,103.19190476190474,85.61104761904761,3.171,3.743,3.829,0.171,0.257,0.057,44.311,47.28,38.209
2013,5,120.0,6639.0,16.651047619047603,-0.27,neutro,2.314,0.371,40.409,18.758,64,16.651047619047603,27.030761904761903,103.19190476190474,2.314,3.171,3.743,0.371,0.171,0.257,40.409,44.311,47.28
2013,6,97.0,6251.0,244.98771428571425,-0.34,neutro,7.4,2.086,58.48,17.078,65,244.98771428571425,16.651047619047603,27.030761904761903,7.4,2.314,3.171,2.086,0.371,0.171,58.48,40.409,44.311
2013,7,91.0,6239.0,-37.08361904761907,-0.35,neutro,1.571,0.0,25.151,15.993,66,-37.08361904761907,244.98771428571425,16.651047619047603,1.571,7.4,2.314,0.0,2.086,0.371,25.151,58.48,40.409
2013,8,81.0,6636.0,-50.59076190476191,-0.28,neutro,0.0,0.0,12.054,16.503,67,-50.59076190476191,-37.08361904761907,244.98771428571425,0.0,1.571,7.4,0.0,0.0,2.086,12.054,25.151,58.48
2013,9,113.0,6561.0,0.5741904761904664,-0.21,neutro,2.829,0.143,42.206,19.913,68,0.5741904761904664,-50.59076190476191,-37.08361904761907,2.829,0.0,1.571,0.143,0.0,0.0,42.206,12.054,25.151
2013,10,94.0,6358.0,-76.34371428571428,-0.13,neutro,1.829,0.143,35.991,21.541,69,-76.34371428571428,0.5741904761904664,-50.59076190476191,1.829,2.829,0.0,0.143,0.143,0.0,35.991,42.206,12.054
2013,11,138.0,6540.0,-28.400095238095236,-0.1,neutro,2.343,0.0,31.463,23.488,70,-28.400095238095236,-76.34371428571428,0.5741904761904664,2.343,1.829,2.829,0.0,0.143,0.143,31.463,35.991,42.206
2013,12,145.0,5934.0,-55.890095238095256,-0.15,neutro,1.343,0.0,21.023,25.181,71,-55.890095238095256,-28.400095238095236,-76.34371428571428,1.343,2.343,1.829,0.0,0.0,0.143,21.023,31.463,35.991
