estacao,estacao_nome,municipio,rio,sub_bacia,lat,lon,data,consistencia,choveu,od_mgl,od_saturacao_pct,ph,dbo_mgl,dqo_mgl,colif_termotolerantes,colif_fecais,ecoli,n_total_mgl,n_amoniacal_mgl,p_total_mgl,turbidez_ntu,solidos_totais_mgl,temp_amostra_c,condutividade_us_cm,iqa_ana
62290120,GUARAPIRANGA,SÃO PAULO,RIO GUARAPIRANGA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.6714,-46.7264,2023-03-06 10:05:00,1,,4.13,,7.0,,,,,104.0,,0.2,0.08,3.8,102.0,25.2,127.0,
62300610,PEDREIRA,SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7028,-46.6792,2022-01-05 10:47:00,1,,0.21,,7.1,,,,,3000000.0,,,0.98,60.0,188.0,22.8,250.0,
62300500,RIO PINHEIROS (Elevatória de Pedreira),SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7025,-46.6739,2022-01-05 11:58:00,1,,4.78,,7.0,,,,,310000.0,,,0.49,28.0,146.0,26.3,210.0,
62300610,PEDREIRA,SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7028,-46.6792,2022-04-12 10:27:00,1,,1.23,,7.2,29.0,,,,420000.0,,,1.24,35.0,240.0,24.8,428.0,
62300500,RIO PINHEIROS (Elevatória de Pedreira),SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7025,-46.6739,2022-04-12 11:47:00,1,,8.07,,7.2,7.3,,,,424.0,,,0.18,33.0,124.0,25.3,201.0,
62300610,PEDREIRA,SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7028,-46.6792,2022-07-20 09:45:00,1,,3.12,,7.4,23.8,,,,130000.0,,11.4,1.33,28.0,258.0,20.5,440.0,
62300500,RIO PINHEIROS (Elevatória de Pedreira),SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7025,-46.6739,2022-07-20 11:15:00,1,,6.23,,7.0,6.36,,,,106.0,,1.45,0.18,13.0,140.0,19.9,216.0,
62300610,PEDREIRA,SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7028,-46.6792,2022-10-06 11:20:00,1,,1.48,,7.1,24.2,,,,330000.0,,11.6,1.09,25.0,224.0,22.9,416.0,
62300500,RIO PINHEIROS (Elevatória de Pedreira),SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7025,-46.6739,2022-10-06 12:30:00,1,,4.31,,7.0,4.57,,,,260.0,,1.97,0.18,24.0,152.0,25.5,222.0,
62300610,PEDREIRA,SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7028,-46.6792,2023-01-17 09:50:00,1,,1.66,,6.9,12.3,,,,120000.0,,4.28,0.42,19.0,200.0,25.6,242.0,
62300500,RIO PINHEIROS (Elevatória de Pedreira),SÃO PAULO,RIO PINHEIROS,"RIOS PARANÁ,TIETÊ E OUTROS",-23.7025,-46.6739,2023-01-17 11:03:00,1,,4.56,,6.9,9.16,,,,110000.0,,2.74,0.28,19.0,158.0,25.6,209.0,
62224250,PONTE AV. FRANCISCO MESQUITA 1000,SÃO PAULO,RIO TAMANDUATEÍ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5947,-46.5822,2022-01-27 10:41:00,1,,0.37,,7.4,,,,,3300000.0,,,2.33,32.0,360.0,26.3,590.0,
62224250,PONTE AV. FRANCISCO MESQUITA 1000,SÃO PAULO,RIO TAMANDUATEÍ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5947,-46.5822,2022-05-12 09:52:00,1,,0.56,,7.3,,,,,2600000.0,,,2.2,40.0,394.0,21.2,538.0,
62224250,PONTE AV. FRANCISCO MESQUITA 1000,SÃO PAULO,RIO TAMANDUATEÍ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5947,-46.5822,2022-08-11 10:42:00,1,,0.95,,7.3,,,,,3000000.0,,17.4,2.08,45.0,344.0,18.0,624.0,
62224250,PONTE AV. FRANCISCO MESQUITA 1000,SÃO PAULO,RIO TAMANDUATEÍ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5947,-46.5822,2022-11-08 11:06:00,1,,0.4,,7.3,,,,,2600000.0,,12.9,2.56,50.0,400.0,22.6,662.0,
62224250,PONTE AV. FRANCISCO MESQUITA 1000,SÃO PAULO,RIO TAMANDUATEÍ,"RIOS PARANÁ,TIETÊ E OUTROS",-23.5947,-46.5822,2023-01-11 10:43:00,1,,1.13,,7.2,,,,,2500000.0,,11.2,1.45,39.0,324.0,22.1,531.0,
